disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,1,CHEMBL576982,specific,CHEMBL3991871,Not AML cell lines,CHEMBL2973,"['O75116', 'Q53QZ0', 'Q53SJ7', 'Q9UQN5']",O75116,['ROCK2'],0.0056052944627179
AML,1,CHEMBL3301622,specific,CHEMBL3991829,Not AML cell lines,CHEMBL3984,"['B3KUN8', 'B4DXD4', 'D3DUA4', 'F8W164', 'I3L1V2', 'O14731', 'Q7LE24', 'Q8TCM9', 'Q99640']",Q99640,['PKMYT1'],0.0051741179655858
AML,1,CHEMBL608533,specific,CHEMBL3991829,Not AML cell lines,CHEMBL3984,"['B3KUN8', 'B4DXD4', 'D3DUA4', 'F8W164', 'I3L1V2', 'O14731', 'Q7LE24', 'Q8TCM9', 'Q99640']",Q99640,['PKMYT1'],0.0051741179655858
AML,1,CHEMBL576982,specific,CHEMBL3991829,Not AML cell lines,CHEMBL3984,"['B3KUN8', 'B4DXD4', 'D3DUA4', 'F8W164', 'I3L1V2', 'O14731', 'Q7LE24', 'Q8TCM9', 'Q99640']",Q99640,['PKMYT1'],0.0051741179655858
AML,1,CHEMBL3301622,specific,CHEMBL3991753,Not AML cell lines,CHEMBL2109,"['B3KSK7', 'P46734', 'Q99441', 'Q9UE71', 'Q9UE72']",P46734,['MAP2K3'],0.0050853692698922
AML,1,CHEMBL608533,specific,CHEMBL3991753,Not AML cell lines,CHEMBL2109,"['B3KSK7', 'P46734', 'Q99441', 'Q9UE71', 'Q9UE72']",P46734,['MAP2K3'],0.0050853692698922
AML,1,CHEMBL576982,specific,CHEMBL3991753,Not AML cell lines,CHEMBL2109,"['B3KSK7', 'P46734', 'Q99441', 'Q9UE71', 'Q9UE72']",P46734,['MAP2K3'],0.0050853692698922
AML,1,CHEMBL608533,specific,CHEMBL1244855,Not AML cell lines,CHEMBL5358,"['C9JEC4', 'Q69YL7', 'Q6DC97', 'Q96GN6', 'Q9H5K1', 'Q9NSQ3', 'Q9NSZ5', 'Q9P2K8', 'Q9UJ56']",Q9P2K8,['EIF2AK4'],0.0048739369947252
AML,1,CHEMBL576982,specific,CHEMBL1244855,Not AML cell lines,CHEMBL5358,"['C9JEC4', 'Q69YL7', 'Q6DC97', 'Q96GN6', 'Q9H5K1', 'Q9NSQ3', 'Q9NSZ5', 'Q9P2K8', 'Q9UJ56']",Q9P2K8,['EIF2AK4'],0.0048739369947252
AML,1,CHEMBL3301622,specific,CHEMBL3991668,Not AML cell lines,CHEMBL4224,"['B4DFW7', 'P49759', 'Q0P694', 'Q8N5V8']",P49759,['CLK1'],0.0048448585664985
AML,1,CHEMBL608533,specific,CHEMBL3991668,Not AML cell lines,CHEMBL4224,"['B4DFW7', 'P49759', 'Q0P694', 'Q8N5V8']",P49759,['CLK1'],0.0048448585664985
AML,1,CHEMBL576982,specific,CHEMBL3991668,Not AML cell lines,CHEMBL4224,"['B4DFW7', 'P49759', 'Q0P694', 'Q8N5V8']",P49759,['CLK1'],0.0048448585664985
AML,1,CHEMBL1489,acceptable,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL178,acceptable,CHEMBL1741322,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL178,acceptable,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL803,acceptable,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL384467,acceptable,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL3301622,specific,CHEMBL3991758,Not AML cell lines,CHEMBL2708,"['B4DS76', 'Q16584', 'Q53H00', 'Q59F06', 'Q6P2G4']",Q16584,['MAP3K11'],0.0047840058967519
AML,1,CHEMBL1117,specific,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL608533,specific,CHEMBL3991758,Not AML cell lines,CHEMBL2708,"['B4DS76', 'Q16584', 'Q53H00', 'Q59F06', 'Q6P2G4']",Q16584,['MAP3K11'],0.0047840058967519
AML,1,CHEMBL635,acceptable,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
AML,1,CHEMBL576982,specific,CHEMBL3991758,Not AML cell lines,CHEMBL2708,"['B4DS76', 'Q16584', 'Q53H00', 'Q59F06', 'Q6P2G4']",Q16584,['MAP3K11'],0.0047840058967519
AML,1,CHEMBL727,specific,CHEMBL1909132,Not AML cell lines,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",P05177,['CYP1A2'],0.0047840058967519
