disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,2,CHEMBL576982,specific,CHEMBL3815409,955,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL3137309,acceptable,CHEMBL4342749,953,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL3137309,acceptable,CHEMBL4147765,952,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL3137309,acceptable,CHEMBL4668641,952,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL3137309,acceptable,CHEMBL4147767,952,CHEMBL4361,"['B2R6B2', 'D3DV03', 'D3DV04', 'Q07820', 'Q9HD91', 'Q9NRQ3', 'Q9NRQ4', 'Q9UHR7', 'Q9UHR8', 'Q9UHR9', 'Q9UNJ1']",Q07820,['MCL1'],0.1305296814869772
AML,2,CHEMBL3137309,acceptable,CHEMBL4147766,952,CHEMBL4625,"['E1P5L6', 'Q07817', 'Q5CZ89', 'Q5TE65', 'Q92976']",Q07817,['BCL2L1'],0.1138204376836748
AML,2,CHEMBL384467,acceptable,CHEMBL3868171,951,CHEMBL1994,"['B0ZBF5', 'B0ZBF7', 'P08235', 'Q2NKL1', 'Q96KQ8', 'Q96KQ9']",P08235,['NR3C2'],0.0719923641938726
AML,2,CHEMBL384467,acceptable,CHEMBL3096919,950,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3096918,950,CHEMBL208,"['A7LQ08', 'A7X8B0', 'B4E3T0', 'P06401', 'Q8TDS3', 'Q9UPF7']",P06401,['PGR'],0.0421298013528913
AML,2,CHEMBL3137309,acceptable,CHEMBL4182824,949,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL384467,acceptable,CHEMBL3241423,948,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3241425,948,CHEMBL1994,"['B0ZBF5', 'B0ZBF7', 'P08235', 'Q2NKL1', 'Q96KQ8', 'Q96KQ9']",P08235,['NR3C2'],0.0719923641938726
AML,2,CHEMBL384467,acceptable,CHEMBL3241424,948,CHEMBL208,"['A7LQ08', 'A7X8B0', 'B4E3T0', 'P06401', 'Q8TDS3', 'Q9UPF7']",P06401,['PGR'],0.0421298013528913
AML,2,CHEMBL384467,acceptable,CHEMBL869701,947,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL1039873,946,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL1019340,945,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL178,acceptable,CHEMBL1614421,941,CHEMBL1293224,"['P10636', 'P18518', 'Q14799', 'Q15549', 'Q15550', 'Q15551', 'Q1RMF6', 'Q53YB1', 'Q5CZI7', 'Q5XWF0', 'Q6QT54', 'Q9UDJ3', 'Q9UMH0', 'Q9UQ96']",P10636,['MAPT'],0.0844403848248855
AML,2,CHEMBL1117,specific,CHEMBL1614421,941,CHEMBL1293224,"['P10636', 'P18518', 'Q14799', 'Q15549', 'Q15550', 'Q15551', 'Q1RMF6', 'Q53YB1', 'Q5CZI7', 'Q5XWF0', 'Q6QT54', 'Q9UDJ3', 'Q9UMH0', 'Q9UQ96']",P10636,['MAPT'],0.0844403848248855
AML,2,CHEMBL384467,acceptable,CHEMBL1250867,940,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
