drug_name,resource_url,use_in_cancer_note,parent_chembl_id,chembl_id_synonyms,specificity,assay_chembl_id,target_chembl_id
Arsenic Trioxide,https://www.cancer.gov/about-cancer/treatment/drugs/arsenictrioxide,"Patients has a certain type of chromosome mutation that affects the PML gene and RARA gene.", CHEMBL2362016,['CHEMBL2362016'],specific,"['CHEMBL935685', 'CHEMBL935686', 'CHEMBL935687', 'CHEMBL936488', 'CHEMBL931509', 'CHEMBL931510', 'CHEMBL931511', 'CHEMBL931512', 'CHEMBL931513', 'CHEMBL931515', 'CHEMBL931516', 'CHEMBL931517', 'CHEMBL931518', 'CHEMBL931519', 'CHEMBL931520', 'CHEMBL931514', 'CHEMBL1614544', 'CHEMBL1697722', 'CHEMBL1697730', 'CHEMBL1794345', 'CHEMBL1794580', 'CHEMBL1909307', 'CHEMBL1909308', 'CHEMBL1909309', 'CHEMBL1909310', 'CHEMBL1909311', 'CHEMBL1909312', 'CHEMBL1909313', 'CHEMBL1909314', 'CHEMBL1909315', 'CHEMBL1909316', 'CHEMBL1909317', 'CHEMBL1909318', 'CHEMBL1909319', 'CHEMBL1909320', 'CHEMBL1964081', 'CHEMBL2354221', 'CHEMBL2354254', 'CHEMBL3215169', 'CHEMBL3214913', 'CHEMBL3214970', 'CHEMBL3296163', 'CHEMBL3292697', 'CHEMBL3296164', 'CHEMBL3296165', 'CHEMBL3296166', 'CHEMBL3423582', 'CHEMBL4029349', 'CHEMBL4029350', 'CHEMBL4303805', 'CHEMBL4495582', 'CHEMBL4513082']","['CHEMBL6035', 'CHEMBL2403', 'CHEMBL612545', 'CHEMBL387', 'CHEMBL1927', 'CHEMBL1293235', 'CHEMBL1697861', 'CHEMBL364', 'CHEMBL2007624', 'CHEMBL1075138', 'CHEMBL383', 'CHEMBL3879801', 'CHEMBL399', 'CHEMBL395', 'CHEMBL372', 'CHEMBL4303835', 'CHEMBL4523582']"
Daurismo (Glasdegib Maleate),https://www.cancer.gov/about-cancer/treatment/drugs/glasdegibmaleate,"It is used with low-dose cytarabine in patients aged 75 years and older or adults who cannot be treated with intensive induction chemotherapy.", CHEMBL2043437,"['CHEMBL2043437', 'CHEMBL2043440', 'CHEMBL4297534']",specific,"['CHEMBL2045164', 'CHEMBL2045165', 'CHEMBL2045166', 'CHEMBL2045142', 'CHEMBL2045147', 'CHEMBL2045181', 'CHEMBL2045151', 'CHEMBL2045152', 'CHEMBL2045153', 'CHEMBL2045154', 'CHEMBL2045155', 'CHEMBL2045156', 'CHEMBL2045157', 'CHEMBL2045158', 'CHEMBL2045159', 'CHEMBL2045160', 'CHEMBL2045167', 'CHEMBL2045168', 'CHEMBL2045169', 'CHEMBL2045170', 'CHEMBL2045183', 'CHEMBL2045184', 'CHEMBL2045185', 'CHEMBL2045171', 'CHEMBL2045172', 'CHEMBL2045173', 'CHEMBL2045174', 'CHEMBL2045175', 'CHEMBL2045176', 'CHEMBL2045177', 'CHEMBL2045178', 'CHEMBL2045182', 'CHEMBL2045161', 'CHEMBL4303805', 'CHEMBL4495582', 'CHEMBL4513082', 'CHEMBL2045144', 'CHEMBL2045162', 'CHEMBL2045163']","['CHEMBL6080', 'CHEMBL2362975', 'CHEMBL613373', 'CHEMBL612558', 'CHEMBL3356', 'CHEMBL3721', 'CHEMBL3397', 'CHEMBL3622', 'CHEMBL289', 'CHEMBL340', 'CHEMBL613652', 'CHEMBL613431', 'CHEMBL613424', 'CHEMBL614058', 'CHEMBL351', 'CHEMBL376', 'CHEMBL373', 'CHEMBL4303835', 'CHEMBL4523582']"
Enasidenib Mesylate,https://www.cancer.gov/about-cancer/treatment/drugs/enasidenibmesylate,"It is used in adult patients whose AML has a mutation in the IDH2 gene.",CHEMBL3989908,"['CHEMBL3989908', 'CHEMBL3989931']",specific,"['CHEMBL4303805', 'CHEMBL4303810', 'CHEMBL4309367', 'CHEMBL4309368', 'CHEMBL4309370', 'CHEMBL4309372', 'CHEMBL4309373', 'CHEMBL4338879', 'CHEMBL4338880', 'CHEMBL4338881', 'CHEMBL4338882', 'CHEMBL4338883', 'CHEMBL4338884', 'CHEMBL4495582', 'CHEMBL4513082', 'CHEMBL4628664', 'CHEMBL4628663', 'CHEMBL4628665', 'CHEMBL4628662', 'CHEMBL4628666', 'CHEMBL4628667', 'CHEMBL4651403', 'CHEMBL4708483', 'CHEMBL4708484', 'CHEMBL4708485', 'CHEMBL4708488', 'CHEMBL4708492']","['CHEMBL4303835', 'CHEMBL612545', 'CHEMBL3991501', 'CHEMBL372', 'CHEMBL2007625', 'CHEMBL612558', 'CHEMBL4523582']"
Gemtuzumab Ozogamicin,https://www.cancer.gov/about-cancer/treatment/drugs/gemtuzumabozogamicin,"Acute myeloid leukemia that is CD33 positive.",CHEMBL1201506,['CHEMBL1201506'],specific,"['CHEMBL3137722', 'CHEMBL3137723', 'CHEMBL3137724', 'CHEMBL3137725', 'CHEMBL3137726', 'CHEMBL3137727', 'CHEMBL3137728', 'CHEMBL3137729', 'CHEMBL3137730', 'CHEMBL3137731', 'CHEMBL3137732', 'CHEMBL3137733', 'CHEMBL3137734', 'CHEMBL3137735', 'CHEMBL3137736', 'CHEMBL3137737', 'CHEMBL3137738', 'CHEMBL3137739', 'CHEMBL3137740']","['CHEMBL3879801', 'CHEMBL612545']"
Gilteritinib Fumarate,https://www.cancer.gov/about-cancer/treatment/drugs/gilteritinibfumarate,"It is used in adults whose cancer has a mutation in the FLT3 gene.",CHEMBL3301622,"['CHEMBL3301603', 'CHEMBL3301622', 'CHEMBL4524472']",specific,"['CHEMBL3811320', 'CHEMBL3706338', 'CHEMBL3706336', 'CHEMBL3706337', 'CHEMBL3706339', 'CHEMBL3991602', 'CHEMBL3991603', 'CHEMBL3991604', 'CHEMBL3991605', 'CHEMBL3991606', 'CHEMBL3991607', 'CHEMBL3991609', 'CHEMBL3991610', 'CHEMBL3991611', 'CHEMBL3991612', 'CHEMBL3991613', 'CHEMBL3991614', 'CHEMBL3991615', 'CHEMBL3991617', 'CHEMBL3991618', 'CHEMBL3991620', 'CHEMBL3991621', 'CHEMBL3991622', 'CHEMBL3991623', 'CHEMBL3991624', 'CHEMBL3991625', 'CHEMBL3991628', 'CHEMBL3991630', 'CHEMBL3991631', 'CHEMBL3991632', 'CHEMBL3991633', 'CHEMBL3991634', 'CHEMBL3991635', 'CHEMBL3991636', 'CHEMBL3991637', 'CHEMBL3991638', 'CHEMBL3991639', 'CHEMBL3991641', 'CHEMBL3991642', 'CHEMBL3991643', 'CHEMBL3991644', 'CHEMBL3991645', 'CHEMBL3991646', 'CHEMBL3991647', 'CHEMBL3991650', 'CHEMBL3991652', 'CHEMBL3991653', 'CHEMBL3991654', 'CHEMBL3991655', 'CHEMBL3991657', 'CHEMBL3991658', 'CHEMBL3991659', 'CHEMBL3991660', 'CHEMBL3991661', 'CHEMBL3991662', 'CHEMBL3991663', 'CHEMBL3991664', 'CHEMBL3991665', 'CHEMBL3991666', 'CHEMBL3991667', 'CHEMBL3991668', 'CHEMBL3991671', 'CHEMBL3991673', 'CHEMBL3991674', 'CHEMBL3991675', 'CHEMBL3991676', 'CHEMBL3991677', 'CHEMBL3991678', 'CHEMBL3991679', 'CHEMBL3991680', 'CHEMBL3991681', 'CHEMBL3991682', 'CHEMBL3991683', 'CHEMBL3991684', 'CHEMBL3991685', 'CHEMBL3991686', 'CHEMBL3991688', 'CHEMBL3991690', 'CHEMBL3991691', 'CHEMBL3991692', 'CHEMBL3991693', 'CHEMBL3991694', 'CHEMBL3991696', 'CHEMBL3991697', 'CHEMBL3991698', 'CHEMBL3991699', 'CHEMBL3991700', 'CHEMBL3991701', 'CHEMBL3991702', 'CHEMBL3991703', 'CHEMBL3991704', 'CHEMBL3991705', 'CHEMBL3991706', 'CHEMBL3991707', 'CHEMBL3991708', 'CHEMBL3991709', 'CHEMBL3991710', 'CHEMBL3991711', 'CHEMBL3991712', 'CHEMBL3991713', 'CHEMBL3991714', 'CHEMBL3991715', 'CHEMBL3991716', 'CHEMBL3991717', 'CHEMBL3991719', 'CHEMBL3991720', 'CHEMBL3991721', 'CHEMBL3991722', 'CHEMBL3991723', 'CHEMBL3991724', 'CHEMBL3991726', 'CHEMBL3991727', 'CHEMBL3991729', 'CHEMBL3991730', 'CHEMBL3991731', 'CHEMBL3991732', 'CHEMBL3991734', 'CHEMBL3991735', 'CHEMBL3991736', 'CHEMBL3991737', 'CHEMBL3991738', 'CHEMBL3991739', 'CHEMBL3991740', 'CHEMBL3991741', 'CHEMBL3991742', 'CHEMBL3991743', 'CHEMBL3991746', 'CHEMBL3991747', 'CHEMBL3991748', 'CHEMBL3991749', 'CHEMBL3991750', 'CHEMBL3991751', 'CHEMBL3991752', 'CHEMBL3991753', 'CHEMBL3991755', 'CHEMBL3991756', 'CHEMBL3991757', 'CHEMBL3991758', 'CHEMBL3991759', 'CHEMBL3991760', 'CHEMBL3991761', 'CHEMBL3991762', 'CHEMBL3991763', 'CHEMBL3991764', 'CHEMBL3991765', 'CHEMBL3991766', 'CHEMBL3991767', 'CHEMBL3991768', 'CHEMBL3991769', 'CHEMBL3991770', 'CHEMBL3991771', 'CHEMBL3991772', 'CHEMBL3991773', 'CHEMBL3991774', 'CHEMBL3991775', 'CHEMBL3991776', 'CHEMBL3991777', 'CHEMBL3991778', 'CHEMBL3991780', 'CHEMBL3991781', 'CHEMBL3991782', 'CHEMBL3991783', 'CHEMBL3991784', 'CHEMBL3991785', 'CHEMBL3991786', 'CHEMBL3991787', 'CHEMBL3991789', 'CHEMBL3991791', 'CHEMBL3991793', 'CHEMBL3991794', 'CHEMBL3991795', 'CHEMBL3991796', 'CHEMBL3991797', 'CHEMBL3991798', 'CHEMBL3991799', 'CHEMBL3991800', 'CHEMBL3991802', 'CHEMBL3991803', 'CHEMBL3991806', 'CHEMBL3991807', 'CHEMBL3991808', 'CHEMBL3991810', 'CHEMBL3991811', 'CHEMBL3991813', 'CHEMBL3991817', 'CHEMBL3991818', 'CHEMBL3991819', 'CHEMBL3991821', 'CHEMBL3991822', 'CHEMBL3991823', 'CHEMBL3991824', 'CHEMBL3991826', 'CHEMBL3991828', 'CHEMBL3991829', 'CHEMBL3991830', 'CHEMBL3991831', 'CHEMBL3991834', 'CHEMBL3991835', 'CHEMBL3991836', 'CHEMBL3991837', 'CHEMBL3991838', 'CHEMBL3991839', 'CHEMBL3991840', 'CHEMBL3991841', 'CHEMBL3991842', 'CHEMBL3991843', 'CHEMBL3991844', 'CHEMBL3991846', 'CHEMBL3991849', 'CHEMBL3991850', 'CHEMBL3991851', 'CHEMBL3991853', 'CHEMBL3991854', 'CHEMBL3991855', 'CHEMBL3991856', 'CHEMBL3991857', 'CHEMBL3991858', 'CHEMBL3991859', 'CHEMBL3991860', 'CHEMBL3991861', 'CHEMBL3991862', 'CHEMBL3991863', 'CHEMBL3991864', 'CHEMBL3991865', 'CHEMBL3991866', 'CHEMBL3991867', 'CHEMBL3991868', 'CHEMBL3991869', 'CHEMBL3991870', 'CHEMBL3991871', 'CHEMBL3991872', 'CHEMBL3991873', 'CHEMBL3991874', 'CHEMBL3991875', 'CHEMBL3991876', 'CHEMBL3991877', 'CHEMBL3991878', 'CHEMBL3991879', 'CHEMBL3991880', 'CHEMBL3991881', 'CHEMBL3991882', 'CHEMBL3991883', 'CHEMBL3991884', 'CHEMBL3991885', 'CHEMBL3991886', 'CHEMBL3991887', 'CHEMBL3991888', 'CHEMBL3991889', 'CHEMBL3991890', 'CHEMBL3991891', 'CHEMBL3991892', 'CHEMBL3991893', 'CHEMBL3991894', 'CHEMBL3991895', 'CHEMBL3991896', 'CHEMBL3991898', 'CHEMBL3991899', 'CHEMBL3991900', 'CHEMBL3991901', 'CHEMBL3991902', 'CHEMBL3991903', 'CHEMBL3991904', 'CHEMBL3991905', 'CHEMBL3991906', 'CHEMBL3991907', 'CHEMBL3991909', 'CHEMBL3991910', 'CHEMBL3991911', 'CHEMBL3991912', 'CHEMBL3991913', 'CHEMBL3991914', 'CHEMBL3991915', 'CHEMBL3991916', 'CHEMBL3991917', 'CHEMBL3991918', 'CHEMBL3991919', 'CHEMBL3991920', 'CHEMBL3991921', 'CHEMBL3991922', 'CHEMBL3991923', 'CHEMBL3991924', 'CHEMBL3991925', 'CHEMBL3991926', 'CHEMBL4303812', 'CHEMBL4303813', 'CHEMBL4303814', 'CHEMBL4303805', 'CHEMBL4303810', 'CHEMBL4360649', 'CHEMBL4360650', 'CHEMBL4418507', 'CHEMBL4418508', 'CHEMBL4424132', 'CHEMBL4424133', 'CHEMBL4495582', 'CHEMBL4513082', 'CHEMBL4651403', 'CHEMBL4768807', 'CHEMBL4768808', 'CHEMBL4768809', 'CHEMBL4768810', 'CHEMBL4768811', 'CHEMBL4768812', 'CHEMBL4768813', 'CHEMBL4768814', 'CHEMBL4768815', 'CHEMBL4768816', 'CHEMBL4768817', 'CHEMBL4768818', 'CHEMBL4768829', 'CHEMBL4814855', 'CHEMBL4815226', 'CHEMBL4815227', 'CHEMBL4815228', 'CHEMBL4815229', 'CHEMBL4815230', 'CHEMBL4815231', 'CHEMBL4823577', 'CHEMBL4823580', 'CHEMBL4839057', 'CHEMBL4839058', 'CHEMBL4839059', 'CHEMBL4839060', 'CHEMBL4839061', 'CHEMBL4839062', 'CHEMBL4839063', 'CHEMBL5107691', 'CHEMBL5107693', 'CHEMBL5107696', 'CHEMBL5107697', 'CHEMBL5107700', 'CHEMBL5131578', 'CHEMBL5131586', 'CHEMBL5131633', 'CHEMBL5131760', 'CHEMBL5131763', 'CHEMBL5132012', 'CHEMBL5132016', 'CHEMBL5150834', 'CHEMBL5150835', 'CHEMBL5150836', 'CHEMBL5150837', 'CHEMBL5150858', 'CHEMBL5150859', 'CHEMBL5150860', 'CHEMBL5150861', 'CHEMBL5150862', 'CHEMBL5150863', 'CHEMBL4418512', 'CHEMBL4418513', 'CHEMBL4418514', 'CHEMBL4418515', 'CHEMBL4418516', 'CHEMBL4418517', 'CHEMBL4418518']","['CHEMBL2041', 'CHEMBL5568', 'CHEMBL4247', 'CHEMBL1974', 'CHEMBL4895', 'CHEMBL3830', 'CHEMBL1862', 'CHEMBL4014', 'CHEMBL4105816', 'CHEMBL4105707', 'CHEMBL4105892', 'CHEMBL4105817', 'CHEMBL4105818', 'CHEMBL6090', 'CHEMBL4105857', 'CHEMBL5903', 'CHEMBL5310', 'CHEMBL5466', 'CHEMBL4105885', 'CHEMBL5550', 'CHEMBL3589', 'CHEMBL4079', 'CHEMBL4938', 'CHEMBL4282', 'CHEMBL2431', 'CHEMBL4816', 'CHEMBL1169596', 'CHEMBL4722', 'CHEMBL2185', 'CHEMBL5146', 'CHEMBL4522', 'CHEMBL5275', 'CHEMBL5476', 'CHEMBL5467', 'CHEMBL5145', 'CHEMBL5251', 'CHEMBL1772932', 'CHEMBL2801', 'CHEMBL3829', 'CHEMBL2494', 'CHEMBL5284', 'CHEMBL4105937', 'CHEMBL4516', 'CHEMBL5052', 'CHEMBL308', 'CHEMBL3559692', 'CHEMBL1795192', 'CHEMBL4597', 'CHEMBL5790', 'CHEMBL301', 'CHEMBL4442', 'CHEMBL331', 'CHEMBL4036', 'CHEMBL2508', 'CHEMBL3055', 'CHEMBL3116', 'CHEMBL1163112', 'CHEMBL4105742', 'CHEMBL4630', 'CHEMBL5579', 'CHEMBL4224', 'CHEMBL4203', 'CHEMBL2634', 'CHEMBL2793', 'CHEMBL2828', 'CHEMBL4937', 'CHEMBL2426', 'CHEMBL2543', 'CHEMBL5084', 'CHEMBL612545', 'CHEMBL4070', 'CHEMBL4105975', 'CHEMBL2447', 'CHEMBL3769292', 'CHEMBL5319', 'CHEMBL5122', 'CHEMBL5553', 'CHEMBL4105783', 'CHEMBL2331059', 'CHEMBL4105814', 'CHEMBL2189122', 'CHEMBL2292', 'CHEMBL203', 'CHEMBL6029', 'CHEMBL4105852', 'CHEMBL5810', 'CHEMBL2068', 'CHEMBL3988', 'CHEMBL3987', 'CHEMBL4602', 'CHEMBL3290', 'CHEMBL4901', 'CHEMBL5147', 'CHEMBL5836', 'CHEMBL4105743', 'CHEMBL1163101', 'CHEMBL4105932', 'CHEMBL4105744', 'CHEMBL4105969', 'CHEMBL3879831', 'CHEMBL3982', 'CHEMBL5455', 'CHEMBL3650', 'CHEMBL4223', 'CHEMBL1841', 'CHEMBL4355', 'CHEMBL4105815', 'CHEMBL4105887', 'CHEMBL2850', 'CHEMBL262', 'CHEMBL4105780', 'CHEMBL3234', 'CHEMBL2546', 'CHEMBL4105858', 'CHEMBL1163126', 'CHEMBL1957', 'CHEMBL3529', 'CHEMBL5247', 'CHEMBL2002', 'CHEMBL1981', 'CHEMBL3357', 'CHEMBL5081', 'CHEMBL3778', 'CHEMBL2835', 'CHEMBL6167', 'CHEMBL258', 'CHEMBL3836', 'CHEMBL5932', 'CHEMBL3905', 'CHEMBL3587', 'CHEMBL2964', 'CHEMBL2109', 'CHEMBL4948', 'CHEMBL2171', 'CHEMBL3956', 'CHEMBL2708', 'CHEMBL5914', 'CHEMBL5970', 'CHEMBL4853', 'CHEMBL5285', 'CHEMBL1163123', 'CHEMBL5749', 'CHEMBL5330', 'CHEMBL5432', 'CHEMBL6166', 'CHEMBL4852', 'CHEMBL4040', 'CHEMBL2637', 'CHEMBL3961', 'CHEMBL260', 'CHEMBL5198', 'CHEMBL3385', 'CHEMBL5332', 'CHEMBL2276', 'CHEMBL4179', 'CHEMBL2208', 'CHEMBL3094', 'CHEMBL3831', 'CHEMBL5600', 'CHEMBL5754', 'CHEMBL3313835', 'CHEMBL4105745', 'CHEMBL4105779', 'CHEMBL4578', 'CHEMBL3717', 'CHEMBL2689', 'CHEMBL4105888', 'CHEMBL2428', 'CHEMBL4627', 'CHEMBL4105935', 'CHEMBL4105781', 'CHEMBL5855', 'CHEMBL3835', 'CHEMBL5679', 'CHEMBL5257', 'CHEMBL5364', 'CHEMBL3959', 'CHEMBL2815', 'CHEMBL5698', 'CHEMBL4105705', 'CHEMBL5922', 'CHEMBL4482', 'CHEMBL1913', 'CHEMBL1075181', 'CHEMBL2972', 'CHEMBL4105706', 'CHEMBL2349', 'CHEMBL2147', 'CHEMBL1795194', 'CHEMBL1770034', 'CHEMBL3984', 'CHEMBL3384', 'CHEMBL3032', 'CHEMBL3788', 'CHEMBL4045', 'CHEMBL4101', 'CHEMBL2918', 'CHEMBL2743', 'CHEMBL2393', 'CHEMBL2453', 'CHEMBL2221', 'CHEMBL299', 'CHEMBL3045', 'CHEMBL2996', 'CHEMBL2598', 'CHEMBL4900', 'CHEMBL2595', 'CHEMBL4273', 'CHEMBL3831205', 'CHEMBL2695', 'CHEMBL5469', 'CHEMBL4601', 'CHEMBL3856', 'CHEMBL2568', 'CHEMBL4105933', 'CHEMBL4105971', 'CHEMBL4105702', 'CHEMBL4105703', 'CHEMBL4105853', 'CHEMBL6094', 'CHEMBL1741190', 'CHEMBL5014', 'CHEMBL1795199', 'CHEMBL3231', 'CHEMBL2973', 'CHEMBL2553', 'CHEMBL2345', 'CHEMBL3125', 'CHEMBL4237', 'CHEMBL4924', 'CHEMBL4501', 'CHEMBL4105891', 'CHEMBL5699', 'CHEMBL6149', 'CHEMBL4105889', 'CHEMBL3709670', 'CHEMBL4105854', 'CHEMBL4202', 'CHEMBL4105747', 'CHEMBL4105890', 'CHEMBL4105972', 'CHEMBL267', 'CHEMBL4105934', 'CHEMBL3981', 'CHEMBL5606', 'CHEMBL3938', 'CHEMBL5082', 'CHEMBL5941', 'CHEMBL4708', 'CHEMBL1075155', 'CHEMBL4598', 'CHEMBL1795198', 'CHEMBL4105973', 'CHEMBL2599', 'CHEMBL5261', 'CHEMBL1075195', 'CHEMBL5701', 'CHEMBL5408', 'CHEMBL4246', 'CHEMBL5604', 'CHEMBL4439', 'CHEMBL4267', 'CHEMBL4105820', 'CHEMBL4527', 'CHEMBL5334', 'CHEMBL4599', 'CHEMBL1806', 'CHEMBL3396', 'CHEMBL1938223', 'CHEMBL3983', 'CHEMBL4105970', 'CHEMBL3553', 'CHEMBL6006', 'CHEMBL5047', 'CHEMBL5491', 'CHEMBL3179', 'CHEMBL2073', 'CHEMBL3886', 'CHEMBL4303835', 'CHEMBL391', 'CHEMBL612558', 'CHEMBL3883330', 'CHEMBL4523666', 'CHEMBL4523582', 'CHEMBL3706570', 'CHEMBL613835', 'CHEMBL385', 'CHEMBL392', 'CHEMBL395', 'CHEMBL400', 'CHEMBL394', 'CHEMBL390', 'CHEMBL614925', 'CHEMBL1907602', 'CHEMBL1907605', 'CHEMBL3038473', 'CHEMBL614524', 'CHEMBL5403', 'CHEMBL4303840', 'CHEMBL4296578', 'CHEMBL5627']"
