symbol,overall_score,uniprot_id,chembl_score,uniprot_variants_score,cancer_gene_census_score,intogen_score,eva_somatic_score,eva_score,uniprot_literature_score,gene_burden_score,slapenrich_score,cancer_biomarkers_score,europepmc_score,genomics_england_score,gene2phenotype_score,clingen_score,orphanet_score,impc_score,crispr_score,expression_atlas_score,reactome_score,ot_genetics_portal_score
ABL1,0.5718997891232702,['P00519'],0.6280538560578216,,0.7556917553644457,,,,,,0.3314162096111645,,0.7691596767144839,,,,,,,,,
TXNRD1,0.5710593837554495,['Q16881'],0.9285790699742311,,,,,,,,,,0.21540507986373764,,,,,,,,,
TOP2B,0.571001636059949,['Q02880'],0.9206302049078624,,,,,,,,,,0.3724825697083801,,,,,,,,,
AXL,0.5685155317475683,['P30530'],0.8897482465553158,,,,,,,,,,0.9083326804342209,,,,,,,,,
FANCC,0.5608405081481284,['Q00597'],,,0.4559480982087158,,,,,,0.7944842304131225,,0.3601212141489325,0.7599134970145264,,,,,,,,
SBDS,0.55178965776176,['Q9Y3A5'],,,0.4559480982087158,,,,,,,,0.15863413282942304,0.7599134970145264,,,,,0.2859177572171143,,,
PRKD1,0.550449036069728,['Q15139'],0.8227203195717089,,0.3039653988058105,,,,,,,,0.03647584785669727,,,,,0.28256623472988146,,,,
PRKCB,0.5486230560083364,['P05771'],0.8227203195717089,,0.3039653988058105,,,,,,,,0.1679219644596006,,,,,,,,,
FANCI,0.5404992246493391,['Q9NVI1'],,,,,,,,,0.7944842304131225,,0.024317231904464845,0.7599134970145264,,,,,0.2659697239550842,,,
PRKCG,0.5378545560961542,['P05129'],0.8227203195717089,,,,,,,,0.4633084534106921,,0.18432124044252343,,,,,,,,,
BLM,0.5370126675824959,['P54132'],,,0.4559480982087158,,,,,,,,0.1429100215124947,0.7599134970145264,,,,0.3446173935027677,,,,
DHFR,0.5355717658380542,['P00374'],0.8641354554680868,,,,,,,,,,0.117076159352444,,,,,0.2847547856012833,,,,
FANCG,0.5354448738318913,['O15287'],,,0.4559480982087158,,,,,,,,0.3089537053499544,0.7599134970145264,,,,,,,,
FANCA,0.5338724410353863,['O15360'],,,0.4559480982087158,,,,,,,,0.1925597405751473,0.7599134970145264,,,,,,,,
ERCC4,0.5332489777389603,['Q92889'],,,0.4559480982087158,,,,,,,,0.14641000042479874,0.7599134970145264,,,,,,,,
PALB2,0.5323749060442549,['Q86YC2'],,,0.4559480982087158,,,,,,,,0.0817098299180983,0.7599134970145264,,,,,,,,
FANCE,0.5312710411092588,['Q9HB96'],,,0.4559480982087158,,,,,,,,,0.7599134970145264,,,,,,,,
PRKCA,0.5223008775441709,['P17252'],0.8227203195717089,,,,,,,,,,0.7284992812553914,,,,,,,,,
BCOR,0.5207132531462544,['Q6W2J9'],,,0.6395938599872263,0.607930797611621,,0.547137717850459,,,,,0.33312983214856623,,,,,,,,,
PRKCE,0.5194915100478581,['Q02156'],0.8227203195717089,,,,,,,,,,0.6360753571064578,,,,,,,,,
PHF6,0.5170946992346355,['Q8IWS0'],,,0.6037090559615403,0.6743181329506427,,,,,,,0.8453864797117284,,,,,0.5239801983772713,,,,
PRKCH,0.5148626994640989,['P24723'],0.8227203195717089,,,,,,,,,,0.19639542156175424,,,,,0.39650766447223956,,,,
JAK3,0.5148491064514686,['P52333'],,,0.5319394479101685,,0.643347591420098,,,,0.8411828868301956,0.607930797611621,0.21268734785514634,,,,,0.45542702767776283,,,,
PRKCD,0.5140700567728906,['Q05655'],0.8227203195717089,,,,,,,,,,0.4484789942957623,,,,,,,0.02078726269394784,,
STAG2,0.5140088438209042,['Q8N3U4'],,,0.6490927786999079,0.607930797611621,,,,,0.658169184136247,,0.6292068017996917,,,,,,,,,
RUNX1T1,0.5104687477220479,['Q06455'],,,0.7915765593901316,,,,,,,,0.9621153827454441,,,,,,,,,
UBE2T,0.5061665595217698,['Q9NPD8'],,,,,,,,,,,0.01823792392834863,0.7599134970145264,,,,,0.28914708561402724,,,
SLX4,0.5030392466541774,['Q8IY92'],,,,,,,,,,,,0.8274613634158176,,,,,,,,
PRKCQ,0.5012657596525708,['Q04759'],0.8227203195717089,,,,,,,,,,0.03647584785669727,,,,,,,,,
PRKCZ,0.5012606265990336,['Q05513'],0.8227203195717089,,,,,,,,,,0.03630697819069404,,,,,,,,,
PRKD3,0.5005265999432015,['O94806'],0.8227203195717089,,,,,,,,,,0.012158615952232422,,,,,,,,,
PRKCI,0.5001570200885168,['P41743'],0.8227203195717089,,,,,,,,,,,,,,,,,,,
NF1,0.4989853762980415,['P21359'],,,0.6395938599872263,0.4436772483611772,,0.19453785523571876,,,0.8798078610561384,,0.7912272544632623,,,,,0.5243821081823591,,,,
MPL,0.4975878562277508,['P40238'],0.17050770176345936,,0.7556917553644457,,,,,,,,0.5976935678671393,,,,,0.551478401126629,,,,
HRAS,0.4973217887257967,['P01112'],,,0.4559480982087158,,0.6684963037852956,,,,,0.607930797611621,0.14394541838606947,,,,,,,,,
KMT2A,0.4810886110339195,['Q03164'],0.09190679877429972,,0.6490927786999079,,,,,,,0.865457038266544,0.9928327318738989,,,,,0.6672083655156685,,,,
TOP1MT,0.47731238232529233,['Q969P6'],0.7851426251154086,,,,,,,,,,,,,,,,,,,
IKZF1,0.47729103284530067,['Q13422'],,,0.6037090559615403,0.607930797611621,,,,,,,0.845731587469078,,,,,0.5964327970286089,,,,
CRBN,0.4753605968515256,['Q96SW2'],0.7559745935990463,,,,,,,,,,0.3173032147838204,,,,,0.3781262013277882,,,,
ERBB3,0.4734725544026318,['P21860'],0.12158615952232422,0.607930797611621,0.4559480982087158,,,0.4377101742803672,,,,,0.08437235122519282,,,,,,,,,
RBX1,0.4694087411824144,['P62877'],0.7559745935990463,,,,,,,,,,0.317643841752072,,,,,,,0.0128227453520239,,
FANCB,0.4686023853540708,['Q8NB91'],,,,,,,,,,,0.2180368892061807,0.7599134970145264,,,,,,,,
BRAF,0.46776491767746686,['P15056'],0.5747726503748405,,0.6227068933869035,,,,,,,,0.13669716409769866,,,,,,,,,
NUP98,0.466578367009121,['P52948'],,,0.7219178221638001,,,,,,,,0.9113632564716772,,,,,,,,,
CUL4A,0.4664174649724563,['Q13619'],0.7559745935990463,,,,,,,,,,0.22493439511629978,,,,,,,,,
RET,0.4645679216730559,['P07949'],0.6416894533966495,,0.4559480982087158,,,,,,,,0.38261147040354776,,,,,,,,,
FANCF,0.46391511259297197,['Q9NPI8'],,,,,,,,,,,0.06383273374922022,0.7599134970145264,,,,,,,,
XRCC2,0.46271397806524667,['O43543'],,,,,,,,,,,0.024317231904464845,0.7599134970145264,,,,,,,,
FANCL,0.4626626475298738,['Q9NW38'],,,,,,,,,,,0.02262853524443256,0.7599134970145264,,,,,,,,
BCR,0.46250775455043047,['P11274'],0.6084443674022559,,0.6037090559615403,,,,,,,,0.06383273374922022,,,,,,,,,
MAD2L2,0.4623443982105619,['Q9UI95'],,,,,,,,,,,0.012158615952232422,0.7599134970145264,,,,,,,,
CTC1,0.4619748183558772,['Q2NKJ3'],,,,,,,,,,,,0.7599134970145264,,,,,,,,
DDB1,0.46110475456136374,['Q16531'],0.7559745935990463,,,,,,,,,,0.05015429080295874,,,,,,,,,
STAT5B,0.4564941812992752,['P51692'],,,0.5319394479101685,,,,,,,,0.44921725330608875,,,,,,,,0.607930797611621,
TGM6,0.453063837415146,['O95932'],,,,,,0.547137717850459,,,,,0.024317231904464845,,,,0.607930797611621,,,,,
KDM5A,0.45229745220824635,['P29375'],,,0.7219178221638001,,,,,,,,0.4415428474060379,,,,,,,,,
PML,0.4517657630697327,['P29590'],,,0.607930797611621,,,,,,,0.865457038266544,0.9472092210572424,,,,,0.4766684062273119,,,,
PTEN,0.4502275500208152,['P60484'],,,0.5847112185361772,,0.547137717850459,,,,,,0.5647983539123878,,,,,0.5234728063754225,,,,
CALR,0.4451409241362719,['P27797'],,,0.6205960225618631,,,,,,0.7651605609096501,,0.7191866968879012,,,,,,,,,
NOTCH1,0.44458037163598746,['P46531'],,,0.6227068933869035,,,,,,0.7262639233536617,,0.8014981125820168,,,,,,,,,
IL2RA,0.44377913222035487,['P01589'],0.6765675873871302,,,,,,,,,,0.9166830560759944,,,,,0.34115556534970143,,,,
CSF1R,0.4396301537199248,['P07333'],0.6064558278330987,,0.396843715107586,,,,,,,,0.7871158700137332,,,,,,,,,
LPP,0.4390403351512765,['Q93052'],,,0.4559480982087158,,,0.607930797611621,,,,,0.012158615952232422,,,,,,,,,
ABCB1,0.4353879857172995,['P08183'],0.670667485205337,,,,,,,,,,0.8999290641580294,,,,,,,0.02323069791729889,,
SUZ12,0.4341607756880846,['Q15022'],,,0.5319394479101685,0.35501951007149374,0.4377101742803672,,,,0.8138245466740056,,0.27600378666838293,,,,,0.48249609840108326,,,,
EGFR,0.43404167597480037,['P00533'],0.48484962459721115,,0.5319394479101685,,,,,,0.9525295597005896,,0.46160878780971076,,,,,0.26566575855627844,,,,
FLT4,0.4287435613452183,['P35916'],0.5760405515131504,,0.4559480982087158,,,,,,,,0.6850361933587472,,,,,,,,,
IL2RB,0.42699919621812643,['P14784'],0.676351180248714,,,,,,,,,,0.26716076370947295,,,,,0.40186336592953187,,,,
CSF2RA,0.4267856967285037,['P15509'],0.6689175605407297,,,,,,,,,,0.6622500683184084,,,,,,,,,
NR3C1,0.42499633483934757,['P04150'],0.6852953481082699,,,,,,,,,,0.2758270282503374,,,,,,,,,
RAF1,0.42060872847039865,['P04049'],0.5745126666935796,,0.4559480982087158,,,,,,,,0.1516378033200688,,,,,,,,,
IMPDH2,0.4205835728695286,['P12268'],0.6853687764305147,,,,,,,,,,0.1291852944924695,,,,,,,,,
IMPDH1,0.41896267398503445,['P20839'],0.685590192134057,,,,,,,,,,0.07143186871936548,,,,,,,,,
VHL,0.41668677237244267,['P40337'],,,0.4559480982087158,,,0.5592963338026914,,,,,0.23023858136617753,,,,,0.41655418252348275,,,,
JAK1,0.41335149225221063,['P23458'],0.16884804034702053,,0.4559480982087158,,0.5440980638624009,,,,,,0.24686687259941129,,,,,,,,,
CTCF,0.4130318171377652,['P49711'],,,0.4559480982087158,,0.547137717850459,,,,,,0.8226555300893681,,,,,,,,,
OPRM1,0.412964760527166,['P35372'],0.5792229543910723,,,,,,,,0.788677134253267,,0.06696347396732863,,,,,,,,,
USP6,0.41272201146945015,['P35125'],,,0.5699351227608948,0.4005998616445588,,,,,,,,,,,,0.3965076644722395,,,,
IL3RA,0.4106454831746602,['P26951'],0.6745687420406384,,,,,,,,,,0.01823792392834863,,,,,,,,,
ZRSR2,0.41027912382431736,['Q15696'],,,0.6037090559615403,0.2627596935935524,,,,,,,0.246556150407686,,,,,,,,,
NOTCH2,0.4089655589297824,['Q04721'],,,0.5319394479101685,0.21150553733033184,,,,,0.7262639233536617,0.607930797611621,0.3752278503653862,,,,,,,,,
PPAT,0.40706290855495375,['Q06203'],0.6695875750236419,,,,,,,,,,,,,,,,,,,
KDM6A,0.4067519981857891,['O15550'],,,0.6037090559615403,,,,,,0.3884836023478659,,0.7562990168879004,,,,,,,,,
EEF2,0.4059010272459643,['P13639'],0.665747032561519,,,,,,,,,,0.03858671868173762,,,,,,,,,
FNTB,0.4058550283891845,['P49356'],0.6537186041055777,,,,,,,,,,,,,,,0.27764199526922734,,,,
TET1,0.40480756844101395,['Q8NFU7'],,,0.5699351227608948,,,,,,0.607930797611621,,0.8978057697975276,,,,,,,,,
MYB,0.40308834819312467,['P10242'],,,0.5319394479101685,,,,,,,,0.9252823826293559,,,,,0.6064134038716652,0.41187311538187327,,,
BCLAF1,0.40251062244455404,['Q9NYF8'],,,0.3039653988058105,0.5719522293149014,,,,,,,0.6370123961198133,,,,,,,,,
TP73,0.4017422733010153,['O15350'],,,,,,,,,0.8619205446491169,,0.22062200979077365,,,,,0.44431635561441346,,,,0.5404639940482956
MFSD11,0.399146243059478,['O43934'],,,,,0.6565652614205508,,,,,,,,,,,,,,,
FNTA,0.3981548321168288,['P49354'],0.6537186041055777,,,,,,,,,,0.024317231904464845,,,,,,,,,
ELL,0.3970339928766639,['P55199'],,,0.5319394479101685,,,,,,0.8933646400174569,,0.4266334056230641,,,,,,,,,
CDKN2A,0.39677335588863366,"['P42771', 'Q8N726']",,,0.6037090559615403,,,,,,,,0.7503764231715211,,,,,0.5145374288285358,,,,
SH2B3,0.3965465158390659,['Q9UQQ2'],,,0.6205960225618631,,,,,,,,0.20388294746795024,,,,,0.5432430564101403,,,,
PPIA,0.3961124083382008,['P62937'],0.6497510412796957,,,,,,,,,,0.03647584785669727,,,,,,,,,
PTK6,0.3951741536366711,['Q13882'],0.12158615952232422,,0.5319394479101685,0.41680999197667984,,,,,,,0.030396539880581056,,,,,,,,,
HRH1,0.39504264022828245,['P35367'],0.6450821241323312,,,,,,,,,,0.09466044460388584,,,,,,,,,
BCORL1,0.3945359348902215,['Q5H9F3'],,,0.6395938599872263,,,,,,,,0.1877558913979395,,,,,,,,,
MN1,0.393387882071837,['Q10571'],,,0.6037090559615403,,,,,,,,0.867682777691038,,,,,,,,,
ASXL2,0.3913019771276487,['Q76L83'],,,0.34196107365653683,0.5475816217746434,,,,,,,0.476556723601075,,,,,,,,,
CBFA2T3,0.39077117443128917,['O75081'],,,0.607930797611621,,,,,,,,0.40595498242513317,,,,,0.5167378005765578,,,,
MLLT1,0.3889506533827124,['Q03111'],,,0.607930797611621,,,,,,,,0.6372698594679764,,,,,,,,,
KLK2,0.38773033199255047,['P20151'],,,0.3039653988058105,,,0.547137717850459,,,,,0.6596049154086089,,,,,,,,,
STAT5A,0.38737023631664563,['P42229'],,,,,,,,,,,0.473039003301393,,,,,0.2525344533278674,,,0.607930797611621,
NUP214,0.3858666005368294,['P35658'],,,0.5699351227608948,,,0.19453785523571876,,,,,0.7268252069437422,,,,,,,,,
KMT2D,0.3857387072200829,['O14686'],,,0.6037090559615403,,,,,,,,0.616036541579776,,,,,,,,,
DAXX,0.38373111799792003,['Q9UER7'],,,0.5319394479101685,,,,,,0.7593953434480616,,0.19551084171172992,,,,,,,,,
MLLT10,0.3822909435519064,['P55197'],,,0.5699351227608948,,,0.19453785523571876,,,,,0.46214941661747266,,,,,,,,,
ALK,0.3819796819256973,['Q9UM73'],0.13678442946261474,,0.5319394479101685,,,,,,,0.607930797611621,0.41588034510428107,,,,,,,,,
ARID1A,0.3812662724984287,['O14497'],,,0.5319394479101685,,,,,,0.7200963851344128,,0.22901588282435134,,,,,,,0.009066370939010375,,
NOX4,0.3788839701897332,['Q9NPH5'],,,,,,,,,,,0.30609127030854527,,,,,,,,0.607930797611621,
TUBB1,0.37759849381919497,['Q9H4B7'],0.603282640678802,,,,,,,,,,,,,,,0.3567641885783798,,,,
HDAC2,0.37704520604423664,['Q92769'],0.49770348378441304,,,,,,,,0.8783739089742532,,0.5719730096059539,,,,,,,,,
MDM2,0.3769240492570289,['Q00987'],0.24779234014652485,,0.4559480982087158,,,,,,0.9280612982633606,,0.8813492473750096,,,,,0.430552312634455,,,,
EP300,0.37541930773178145,['Q09472'],,,0.5699351227608948,,,,,,,,0.7433376626014089,,,,,0.458049259027961,,0.020430092198074835,,
ANKRD26,0.3747356997203205,['Q9UPS8'],,,,,,,,,,,0.16961947168574185,0.607930797611621,,,,,,,,
ERCC6L2,0.37302882720952246,['Q5T890'],,,,,,,,,,,0.11346595824296755,,,,0.607930797611621,,,,,
SET,0.37222938982600434,['Q01105'],,,0.5699351227608948,,,,,,,,0.847079179414951,,,,,,,,,
NT5C3A,0.3719782739499993,['Q9H0P0'],,,,0.607930797611621,,,,,,,0.07890435144000832,,,,,,,,,
MYC,0.37101534219048454,['P01106'],,,0.4559480982087158,0.22563920656651001,,,,,0.9073753258419252,,0.9675094185822362,,,,,0.4696451168182376,,,,
LCK,0.37086554859276427,['P06239'],0.491952029789335,,0.4559480982087158,,,,,,,,0.18479754549646318,,,,,,,,,
MED12,0.36998899741260266,['Q93074'],,,0.5319394479101685,,,,,,0.6058581833457621,,0.04194384764188179,,,,,,,,,
SSX4,0.3695798546847018,['O60224'],,,0.607930797611621,,,,,,,,,,,,,,,,,
HCAR3,0.3695798546847018,['P49019'],,,,0.607930797611621,,,,,,,,,,,,,,,,
TUBB3,0.36790903397899877,['Q13509'],0.603282640678802,,,,,,,,,,0.037995674850726316,,,,,,,,,
IRF4,0.3678002765423032,['Q15306'],,,0.4559480982087158,,,,,,,,0.5474997205474296,,,,,0.4586386141623123,0.2925666963505926,,,0.42414064944714025
TUBB4B,0.3676780465698209,['P68371'],0.603282640678802,,,,,,,,,,0.030396539880581056,,,,,,,,,
TUBB2A,0.3671236767877938,['Q13885'],0.603282640678802,,,,,,,,,,0.012158615952232422,,,,,,,,,
TUBB,0.3671236767877938,['P07437'],0.603282640678802,,,,,,,,,,0.012158615952232422,,,,,,,,,
TUBB4A,0.3671236767877938,['P04350'],0.603282640678802,,,,,,,,,,0.012158615952232422,,,,,,,,,
TUBB8,0.3667540969331091,['Q3ZCM7'],0.603282640678802,,,,,,,,,,,,,,,,,,,
TUBB6,0.3667540969331091,['Q9BUF5'],0.603282640678802,,,,,,,,,,,,,,,,,,,
TUBB2B,0.3667540969331091,['Q9BVA1'],0.603282640678802,,,,,,,,,,,,,,,,,,,
ATM,0.36672498062248754,['Q13315'],,,0.565713381110814,,,,,,,,0.5077410997101544,,,,,0.5247645979758564,,,,
CD47,0.3653941953802383,['Q08722'],0.546614221885849,,,,,,,,,,0.8867696360468538,,,,,0.4541850988956422,,,,
U2AF2,0.3645177719691047,['P26368'],,,,0.5960155755215372,,,,,,,0.07176960805137193,,,,,,,,,
CUX1,0.3636507142912351,"['P39880', 'Q13948']",,,0.5699351227608948,,,,,,,,0.5648537824298886,,,,,,,,,
CCND2,0.3635181081880503,['P30279'],,,0.4559480982087158,0.3116117002664652,,,,,,,0.6271517073915849,,,,,,0.3981946724356118,,,
