uniprot_id,symbol,overall_score,chembl_score,uniprot_variants_score,cancer_gene_census_score,intogen_score,eva_somatic_score,eva_score,uniprot_literature_score,gene_burden_score,slapenrich_score,cancer_biomarkers_score,europepmc_score,genomics_england_score,gene2phenotype_score,clingen_score,orphanet_score,impc_score,crispr_score,expression_atlas_score,reactome_score,ot_genetics_portal_score
Q9Y6K1,['DNMT3A'],0.8473932476290659,0.9406751496236514,0.865457038266544,0.8417308501930904,0.8380026540328287,0.8321238893573638,0.805561535243386,0.7599134970145264,0.6174281254467645,0.8864984392969888,0.607930797611621,0.984962642554201,,,,,,,,,
P49715,['CEBPA'],0.8388918693200877,,0.607930797611621,0.8295722342408579,0.6995877830293759,0.8948615878946339,0.9183280868272728,0.7599134970145264,,,,0.9790515263763702,0.8860591375189377,0.607930797611621,0.607930797611621,0.607930797611621,0.4554465553006862,,,,
P36888,['FLT3'],0.821081847621124,0.9340404154722716,,0.8193134020311618,0.8752265529995166,0.8777811886537621,0.4377101742803672,0.3799567485072632,,0.788677134253267,0.9513974960387728,0.99791839895483,,,,,0.5209925149575173,,,,
Q6N021,['TET2'],0.7932657651932565,,,0.8826395267823723,0.7390321816467939,,,,0.9716642663367387,0.607930797611621,,0.9618040570429844,,,,,0.6715518928478482,,,,
Q01130,['SRSF2'],0.782598218194071,,,0.874196043482211,0.607930797611621,0.6565652614205508,,,0.9422101427748734,,0.607930797611621,0.6209106583194351,,,,,,,,,
P23769,['GATA2'],0.7692377101613984,,,0.793687430215172,0.7846840619703739,0.5319394479101685,0.7312119023848426,,,,,0.9185097010893256,0.8897742701710087,,,0.607930797611621,0.4516115589596861,,,,
P01111,['NRAS'],0.7643865085865214,,,0.8573090768818881,0.8937905329509754,0.7988469497496747,,,,0.9821221740481456,0.607930797611621,0.7799519939581965,,,,,0.2995882970630069,0.4306174456646323,,,
Q01196,['RUNX1'],0.7586952983379991,,,0.8573090768818881,0.7599134970145264,0.8341891819712488,0.8365888992815822,,,0.3540533486099572,,0.9862429814676528,0.7599134970145264,,,,0.5981173441278244,,,,
P04637,['TP53'],0.753801443635606,0.2702530611603666,,0.6612513946521403,0.7599134970145264,0.8843039760476706,0.7568738430264683,,,0.961197330495239,0.7599134970145264,0.9905623793889032,,,,,0.7489678755308586,,,,
P48735,['IDH2'],0.7523053323792133,0.7990576221273467,,0.8559581195538624,0.827227875776248,0.8313290818732415,,,0.2521063903660835,0.7596902057219637,0.607930797611621,0.9782820071409576,,,,,,,,,
P01116,['KRAS'],0.7516466215354818,,,0.6395938599872263,0.8399608358844379,0.7866455651428372,0.8117127219150393,0.7599134970145264,,0.9821221740481456,0.607930797611621,0.2003266044537761,0.607930797611621,,,,0.3930348597908831,,,,
O75874,['IDH1'],0.7506347909809313,0.7789729299950914,,0.6395938599872263,0.8554352404518684,0.8321238893573638,0.5592963338026914,,,0.7651605609096501,0.8274613634158176,0.9829514252720488,,,,,,,,,
P10721,['KIT'],0.7412150034664634,0.8583943029535076,,0.6490927786999079,0.7413750537183725,0.7883342618028697,0.3057618769433922,,,0.9357685933772968,0.8274613634158176,0.9699857707380116,,,,,0.5435465569087314,,,,
Q99062,['CSF3R'],0.7362928086405053,0.9152401277839728,,0.7725787219647684,0.510072467688086,0.4255515583281347,,,,0.788677134253267,,0.6688294612418008,,,,,,,,,
Q8IXJ9,['ASXL1'],0.7356672690957878,,,0.874196043482211,0.7525215495573013,,,,0.8919217364795516,,,0.916944924210597,,,,,0.5713414694829662,,,,
O60674,['JAK2'],0.7187458973901665,0.1812632792655235,0.7599134970145264,0.8277568853313232,0.607930797611621,0.6839221473130737,0.6100416684366613,,,0.9154417988935604,0.7599134970145264,0.6480222056456545,,,,,0.6049983898245326,,,,
