symbol	globalScore	otGeneticsPortal	eva	geneBurden	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SLC1A5	0.07574648637985713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6229860921460345	No data	No data	No data	1	0	0	1	0	0.15896499999999988	No data	-0.36195040633465303	0	0	No data	No data	0	-1	-1
CBX2	0.07573841026481891	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6229196691660676	No data	No data	No data	0	0	0	1	0	0.13534000000000007	No data	-0.8992498437174411	-0.8270402875473639	0	No data	No data	0	0.5	0
SPINT2	0.07572547496990495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6228132812764855	No data	No data	No data	1	0	0	0	0	0	No data	0.09147739112315056	-0.7648401281701952	0	No data	No data	0	-1	0
PCDH17	0.07570227356791641	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.622622458553902	No data	No data	No data	1	0	0	0	0	0.9050899999999998	No data	-0.6258595540737654	-0.12511711754295884	0	No data	No data	0	0.5	0
PCNA	0.0755956222952995	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6217452923284374	No data	No data	No data	0	0	1	1	0	0.846745	No data	-0.8098562200458429	-0.638747300666482	-1	No data	No data	No data	0.5	-1
ACOT2	0.07557908028302153	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6216092405578825	No data	No data	No data	0	0	0	0	0	0	No data	0.4763492394248803	-0.2240387332027649	0	No data	No data	-0.65321	-1	-1
STK10	0.07557908028302153	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6216092405578825	No data	No data	No data	1	0	1	1	0	0.41632000000000036	No data	-0.1459679099812461	0	0	No data	No data	0	0.5	-1
TNFAIP8	0.0755406850425626	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6212934542824564	No data	No data	No data	0	0	0	0	0	0.6717149999999996	No data	0.07324442592206704	-0.18269665938557195	0	No data	No data	0	0.5	-1
RBM25	0.07553555198902531	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6212512368659556	No data	No data	No data	0	0	0	0	0	0.94069	No data	-0.9910397999583247	0	-1	No data	No data	No data	-1	-1
DNM1L	0.07549181837288764	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6208915444773688	No data	No data	No data	0	0	1	1	0	0.755435	No data	-0.4923942488018337	-0.9693447447396399	0	No data	No data	0	-1	-1
MT1X	0.07549181837288764	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6208915444773688	No data	No data	No data	No data	No data	0	0	0	No data	No data	0.9257136903521568	0	0	No data	No data	-0.7540975	0.5	-1
ICAM2	0.07548565870864288	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6208408835775678	No data	No data	No data	1	0	0	0	0	0	No data	0.40341737862054594	No data	0	No data	No data	0	0.5	-1
FLVCR2	0.07546615310520119	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6206804573948648	No data	No data	No data	0	0	0	0	0	0.3345999999999997	No data	0.020525109397791175	-0.8953497121577886	0	No data	No data	0	0.5	0
SNAI2	0.07545588699812664	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6205960225618633	No data	No data	No data	0	0	0	0	0	0.7761200000000003	No data	-0.5053136070014587	-0.9145499177550739	0	No data	No data	0	-1	0
PRL	0.07540994067945413	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6202181315350145	No data	No data	No data	0	1	0	0	0	0	No data	0.5506355490727235	-0.831588546706496	0	-1	No data	0	1	0
NDUFAB1	0.07539858993600741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.04086645917278119	0.017796272173510923	No data	1	0	0	0	0	0	0.1666649999999997	No data	-0.19733277766201296	No data	-1	No data	No data	0	0.5	-1
AK6	0.07539572761066962	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6201012344404738	No data	No data	No data	0	0	0	0	1	No data	No data	0.8546572202542195	No data	-1	No data	No data	No data	-1	-1
PRDM5	0.07539429035567917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6200894135638535	No data	No data	No data	0	0	0	0	0	0.4047600000000003	No data	-0.0880391748280892	-0.2249761291102667	0	No data	No data	0	-1	0
SLC4A1	0.07538135130174682	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04618585365188288	No data	0.6084365313448017	No data	1	0	0	0	1	0.12184499999999972	No data	-0.6910814753073558	-0.9501150792756882	0	No data	No data	0	1	0.5
RPS2	0.07537375814153001	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6199205438978502	No data	No data	1	0	0	1	1	0	No data	No data	-0.559283183996666	No data	-1	No data	No data	0	-1	-1
GJB1	0.0753633276571943	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6198347571242843	No data	No data	No data	1	0	0	0	0	0.9293300000000002	No data	-0.5140654302979788	-0.7991308953191506	0	No data	No data	0	0.75	0
PANDAR	0.07534049595460837	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6196469750389249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ATP1B1	0.07531996374045924	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6194781053729217	No data	No data	1	1	0	1	0	0	0.7029699999999999	No data	-0.9389456136695145	-0.8669689005296363	0	-1	No data	0	0.5	-1
OPTN	0.07525070851996904	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6146011494187485	0.017229432237839286	No data	No data	0	0	0	0	0	0	No data	0.40643884142529685	-0.7182802989072564	0	No data	No data	0	0.75	-1
GNA15	0.0752248995889487	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6186962388193269	No data	No data	No data	No data	No data	0	0	0	0.22460000000000022	No data	-0.2568243384038341	-0.8336449947418639	0	No data	No data	0	0.5	0
MXD4	0.07520950042833682	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6185695865698245	No data	No data	No data	0	0	0	0	0	0.5932999999999999	No data	-0.484892685976245	-0.5056323450652125	0	No data	No data	0	-1	-1
NMNAT1	0.07518896821418766	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6184007169038211	No data	No data	No data	0	0	0	0	1	0.10394000000000006	No data	-0.041987914148781	-0.8196578462965914	0	No data	No data	0	-1	-1
ZNF667	0.07518137129495248	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6183382351274	No data	No data	No data	0	0	0	0	0	0	No data	-0.0758491352365076	No data	0	No data	No data	0	-1	0
MARCHF5	0.07516843600003852	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.618231847237818	No data	No data	No data	0	0	0	0	0	1	No data	-0.6361742029589498	No data	0	No data	No data	No data	-1	-1
MIXL1	0.07515570602726603	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6181271480448959	No data	No data	No data	0	0	0	0	0	0	No data	0.6534694728068347	No data	0	No data	No data	0	0.5	0.5
CACNA1B	0.07513507115204615	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.04010654567576667	No data	No data	1	0	0	1	1	0	0.5981200000000001	No data	-0.8395499062304647	-0.8993863846203504	0	No data	No data	-0.10004249999999999	1	0.5
ZNF300	0.07508361777594887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6130813224247194	0.017811708490062073	No data	No data	0	0	0	0	0	No data	No data	-0.12492185872056683	No data	0	No data	No data	0	-1	0
SH3BGRL3	0.07506577492929277	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6173874989078019	No data	No data	No data	0	0	0	0	0	0.7849449999999998	No data	0.18399666597207753	0	0	No data	No data	0	-1	-1
UNCX	0.07502471050099445	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6170497595757953	No data	No data	No data	0	0	0	0	0	0.3785299999999999	No data	-0.33975828297561994	-0.6667576298064748	0	No data	No data	0	1	0.5
EPHB6	0.07501957744745719	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.03630697819069404	No data	No data	1	0	0	No data	No data	No data	0.58904	No data	-0.35799124817670347	0	0	No data	No data	0	0.5	0
SLC25A1	0.0750041782868453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6168808899097921	No data	No data	No data	0	0	0	0	0	0.7106099999999997	No data	-0.31892060846009584	-0.6849512552219069	0	No data	No data	0	0.5	-1
RASSF2	0.0750041782868453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6168808899097921	No data	No data	No data	1	0	0	0	0	0.6319000000000002	No data	0.12460929360283401	-0.6886323500335834	0	No data	No data	0	0.75	-1
CASR	0.0750041782868453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6168808899097921	No data	No data	1	1	0	1	1	0	0.6753250000000002	No data	-0.5582413002708897	-0.861067689629256	0	No data	No data	0	1	0.5
NDUFA13	0.07497851301915888	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	1	0	0	0	1	0	0.1666649999999997	No data	0.8061054386330486	-0.5787265667839511	-1	No data	No data	No data	-1	-1
HOTAIR	0.07494092454210353	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6163606518745561	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	No data	No data	No data	No data	No data	No data
KITLG	0.0749117240971291	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.36911720164111317	No data	0.5238411888907649	No data	0	0	0	0	0	0.13919500000000012	No data	-0.6035632423421546	-0.9666417614896119	0	No data	No data	No data	-1	0
RHEBP1	0.07490151721609957	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.616036541579776	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AIMP2	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6155299325817664	No data	No data	No data	0	0	0	1	0	0.328125	No data	0.07157741196082523	-0.022060910089015118	0	No data	No data	No data	0.5	-1
EPHA10	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	1	0	0	0	0	No data	0.4368618462179621	-0.3497268004554002	0	No data	No data	0	0.5	0.5
NDUFS7	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0.08450500000000005	No data	-0.6437799541571161	-0.6302444295329601	0	No data	No data	No data	0.5	-1
LINC00460	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6155299325817664	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NDUFA5	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0.13793000000000005	No data	0.5175036465930403	No data	0	No data	No data	No data	0.5	-1
GPD2	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0.6630000000000003	No data	-0.06345071889977083	-0.7888992778499834	0	No data	No data	No data	-1	-1
EPHB3	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0.8196399999999997	No data	-0.6590956449260262	No data	0	No data	No data	-0.23847750000000012	0.5	0
TOX3	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6155299325817664	No data	No data	No data	0	0	0	0	0	0.7569450000000003	No data	-0.9100854344655136	No data	0	No data	No data	0	0.5	0
NDUFA7	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0.5575200000000002	No data	0.855386538862263	-0.4025761376112691	0	No data	No data	No data	-1	-1
NDUFB1	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0	No data	0.9213377787038965	No data	-1	No data	No data	No data	-1	-1
P2RX1	0.07482719060087964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6154252333888443	No data	No data	No data	0	0	1	1	0	0.4736849999999997	No data	0.35413627839133155	-0.39602281980394116	0	-1	No data	0	0.5	0
LINC01257	0.07481938835950296	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6153610629157631	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
HMGN1	0.07480912225242839	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6152766280827615	No data	No data	No data	0	0	0	0	0	0	No data	0.001146072098353823	-0.6773142633815726	0	No data	No data	0	-1	-1
RPPH1	0.07472699339583179	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6146011494187485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NDUFC2	0.07465513064630977	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	0	0	0	0	0	0	No data	-0.1364867680766827	0	-1	No data	No data	No data	-1	-1
FBXW4	0.07465513064630977	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6140101055877373	No data	No data	No data	0	0	0	0	0	0	No data	-0.2302563033965409	0	0	No data	No data	No data	-1	-1
ERBIN	0.07463459843216061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.613841235921734	No data	No data	No data	1	0	0	0	0	0.44050999999999974	No data	-0.7792248385080225	-0.17077894484562928	0	No data	No data	0	-1	-1
HMX2	0.07463459843216061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.613841235921734	No data	No data	No data	0	0	0	0	0	0.6886450000000004	No data	0.6736820170868931	-0.805677727718786	0	No data	No data	0	0.75	0.5
DLEU7	0.07463459843216061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.613841235921734	No data	No data	No data	No data	No data	0	0	0	0.14027000000000028	No data	0.6832673473640343	No data	0	No data	No data	No data	1	1
SNCA	0.07458639614955118	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5454781272750363	No data	0.27186665269191695	0.5	0	1	1	1	0	0.75	0	-0.5884559283183997	-0.7094956642325514	0	No data	No data	-0.07142750000000006	0.75	-1
FHL2	0.0745632688916693	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6132545775325592	No data	No data	No data	0	0	0	0	0	0.6057349999999999	No data	0.27151489893727865	-0.5757105661338946	0	No data	No data	0	0.75	-1
NDUFAF1	0.07454042717109331	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.020543661765656508	No data	1	0	0	0	0	0	0	No data	-0.008022504688476761	No data	-1	No data	No data	No data	-1	-1
MAPK3	0.07450217520549213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.5177629180321016	No data	No data	0.5	0	0	1	1	0	0.8284950000000002	1	-0.36111689935403213	-0.7405796430633149	0	-1	No data	-0.5580475	-1	-1
DUBR	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6124902785937083	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
THAP10	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6124902785937083	No data	No data	No data	0	0	0	0	0	No data	No data	0.25255261512815164	No data	0	No data	No data	0	-1	0
MT-ND4L	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	0	0	0	0	No data	No data	No data	No data	No data	No data	No data	0.5	-1
GNB2	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6124902785937083	No data	No data	No data	1	0	0	0	0	1	No data	-0.8041258595540738	-0.8135416669862696	0	No data	No data	-0.7573525	-1	-1
NDUFB3	0.07446164583042934	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.01795187530004333	No data	1	0	0	0	0	0	0	No data	0.9720775161491977	No data	-1	No data	No data	No data	0.5	-1
ESAM	0.07444980850481825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6123214089277049	No data	No data	No data	0	0	0	0	0	0	No data	-0.3887268180871015	No data	0	No data	No data	0	-1	-1
ARPP19	0.07444980850481825	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6123214089277049	No data	No data	No data	0	0	0	0	0	0.9553550000000002	No data	-0.3672640133361117	No data	0	No data	No data	-0.41964250000000014	0.5	-1
BMP4	0.07442120449628882	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6120861518175058	No data	No data	No data	0	1	0	1	0	0.8651949999999999	0	-0.7113982079599916	-0.9817245102221017	0	No data	No data	-0.05024499999999996	0.5	0
NDUFB6	0.07441993080341529	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.016579514262308637	No data	1	0	0	0	0	0	0	No data	0.7303604917691187	No data	0	No data	No data	No data	-1	-1
MICA	0.07438347665425771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6117758546407601	No data	No data	No data	1	0	No data	No data	No data	0	No data	-0.0723067305688685	No data	0	No data	No data	-0.5256025000000001	-1	0
IPO11	0.07437617549294573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	0.015140030997388877	No data	No data	0	0	0	0	0	0.835895	No data	-0.6041883725776203	-0.101334915822818	-1	No data	No data	0	-1	-1
NDUFC1	0.07434799477834149	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.014212928283890858	No data	1	0	0	0	0	0	0	No data	0.41831631589914564	No data	0	No data	No data	No data	0.75	-1
MAP7	0.07430615423998656	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6111399071400337	No data	No data	No data	0	0	0	0	0	0	No data	-0.6543029797874558	0	0	No data	No data	0	0.5	0
NDUFA8	0.0742971444887211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.012540030979784362	No data	1	0	0	0	0	0	0.33139499999999983	No data	-0.2280683475724109	-0.7886223298903361	0	No data	No data	No data	0.5	-1
EPHA6	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.756635	No data	-0.6829547822463014	-0.794318710712632	0	No data	No data	0	0.5	0.5
SV2A	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	0	0	0.9460900000000002	No data	-0.6104396749322776	-0.6569928466796201	0	No data	No data	-0.06671250000000004	0.5	0
TPTEP1	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NCALD	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	No data	No data	0	0	0	1	No data	-0.6120025005209419	-0.8628277499262734	0	No data	No data	-0.753885	0.5	-1
SCAMP2	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	0	0	0	0.4376899999999999	No data	-0.4358199624921859	-0.15291586888694558	0	No data	No data	0	-1	-1
PRLR	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	1	1	1	0	0	No data	-0.7656803500729319	-0.33982492363069383	0	No data	No data	0	0.5	0
TPTEP1	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
TBCB	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	0	0	0	0.44671999999999984	No data	-0.014273807043133968	No data	-1	No data	No data	No data	0.5	-1
RBM17	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	1	1	0	0.9625950000000003	No data	-0.9637424463429881	No data	-1	No data	No data	No data	-1	-1
TRIM25	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	0	0	0	0	No data	-0.3867472390081267	0	0	No data	No data	0	-1	-1
CNST	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	0	0	0	0	No data	-0.21348197541154412	No data	0	No data	No data	No data	-1	-1
PLCB4	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	0	0	0	0.697345	No data	-0.5612627630756408	-0.8779452812670929	0	No data	No data	0	0.5	0
PPP4R2	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	0	0	0	0	No data	No data	-0.9320691810793915	-0.05377051238253633	0	No data	No data	No data	-1	-1
CCN3	0.07428555079162505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6109704515996791	No data	No data	No data	0	1	0	0	0	0.005599999999999739	No data	-0.12721400291727447	-0.948909561869945	0	No data	No data	0	1	0
