symbol	globalScore	otGeneticsPortal	eva	geneBurden	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NPM1	0.7335596355919689	No data	0.015198269940290528	No data	0.3039653988058105	No data	No data	No data	No data	No data	0.8132340940550455	No data	0.8670846906963162	0.7599134970145264	0.12158615952232422	No data	No data	0.9595762964043545	No data	No data	No data	0.9930708700964354	No data	0.476938597692917	1	0	0	1	1	0	0.7108849999999997	No data	-0.9306105438633049	-0.9140972064396476	-1	No data	-1	0	-1	-1
JAK2	0.7302388101046081	No data	0.6100416684366613	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.8277568853313232	0.607930797611621	0.6839221473130737	0.7599134970145264	0.18126327926552357	No data	No data	0.9154417988935604	No data	No data	No data	0.6480222056456545	No data	0.6049983898245326	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
PTPN11	0.6984694421674132	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7725787219647684	0.8421605875219155	0.6179785427388131	No data	No data	No data	0.25913050248195346	0.9697916292369135	No data	No data	No data	0.77191854508687	No data	No data	0.25	0	0	1	1	0	0.9747050000000002	1	-0.9531152323400709	-0.9837093384761916	-1	-1	-1	0	-1	-1
RARA	0.6900427275215554	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	0.9618046244276774	No data	No data	No data	No data	No data	No data	0.9576254635978522	No data	No data	1	0	0	1	1	1	0.91342	0	-0.7160866847259846	-0.7673055439722722	0	-1	No data	-0.3019475	-1	-1
SETD2	0.6890395385169136	No data	No data	No data	No data	No data	0.7599134970145264	0.865457038266544	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	0.3884836023478659	No data	No data	No data	0.8422264695317032	No data	No data	No data	0	0	1	1	0	0.23166999999999974	No data	-0.8811210668889352	-0.896585434973717	0	No data	-1	0	-1	-1
NSD1	0.686828593729712	No data	0.8261425257875297	No data	0.865457038266544	No data	No data	No data	No data	No data	0.3588480402568597	0.18067501416639908	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8280026360084601	No data	No data	No data	1	0	1	0	0	0.19324999999999976	No data	-0.9818712231714941	-0.44045089670747384	0	No data	No data	0	-1	-1
U2AF1	0.6759546798818679	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8464592008411808	0.7599134970145264	0.6058199267865807	No data	No data	No data	No data	No data	No data	No data	No data	0.6514576621488267	No data	No data	No data	0	0	0	0	0	0.9791649999999997	No data	-0.8685142738070432	-0.5270768324545155	-1	No data	No data	0	-1	-1
POLE	0.675654921919343	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	No data	0.3467029338779075	1	1	0	0	0	0	0.5363100000000003	No data	-0.3334027922483851	-0.7053397434311622	-1	No data	-1	No data	-1	0
POLD1	0.6713817575106218	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	1	0	0.4670299999999997	No data	-0.46103354865597	-0.861607767966775	-1	No data	-1	0	-1	0
SETBP1	0.6684214162985481	No data	No data	No data	No data	No data	0.7599134970145264	0.8274613634158176	No data	No data	0.6517524759394587	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7716636047352662	No data	No data	No data	0	0	0	0	0	0.4768149999999999	No data	-0.9735361533652844	-0.43428573990479	0	No data	-1	0	-1	0
POLA2	0.6606567478826615	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	0.7621154578800872	No data	No data	No data	0.07903100368951074	No data	No data	1	0	0	0	0	0	0.15551999999999994	No data	-0.31735778287143157	No data	-1	No data	No data	No data	-1	0
PDGFRB	0.6591249431432462	No data	No data	No data	No data	No data	0.3799567485072632	No data	No data	No data	0.5699351227608948	No data	No data	No data	0.8626421425104074	No data	No data	0.908005658676501	No data	No data	No data	0.27262860165048786	No data	0.42223749113282144	1	0	0	1	1	0	0.2450249999999997	1	-0.7209835382371328	-0.9833508289869114	0	-1	No data	0	-1	0
TERT	0.6562716939240508	No data	0.7652136047923631	No data	0.8274613634158176	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8073151475897131	No data	No data	0.75	0	0	1	1	0	0	1	-0.7657845384455095	-0.7960963888256584	0	No data	No data	No data	No data	No data
ETV6	0.6538800718891722	No data	0	No data	0.7599134970145264	No data	0.7599134970145264	No data	No data	No data	0.6490927786999079	No data	0.6839221473130737	No data	No data	No data	No data	No data	No data	No data	No data	0.520530750110518	No data	0.7799637470853883	No data	0	0	1	1	0	0.45796500000000007	No data	-0.7306730568868514	-0.9396496121940592	0	No data	-1	0	-1	-1
DNMT1	0.6471545533203773	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9406751496236514	No data	No data	0.8274613634158176	No data	No data	No data	0.9185525868978767	No data	No data	1	0	0	1	1	1	0	0	-0.9469681183579912	-0.7935960389805596	-1	No data	No data	0	-1	-1
KMT2A	0.6455067321501607	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6490927786999079	No data	No data	0.865457038266544	0.09190679877429972	No data	No data	No data	No data	No data	No data	0.9928327318738989	No data	0.6672083655156685	0.25	0	0	1	1	0	0.5531199999999998	0	-0.9951031464888519	-0.9520643569183512	0	No data	-1	0	-1	-1
WT1	0.6451126853889143	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	No data	0.8037351753423639	0.6677916242715329	0.42555155832813474	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.9770748923440077	No data	No data	0.75	0	0	0	0	0	0.6264350000000001	No data	-0.8286101271098145	-0.9704906849800282	0	No data	No data	0	0.5	0
PRIM1	0.6431499733216475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	0.272893447809083	No data	No data	No data	No data	No data	No data	No data	1	No data	No data	0	0	0	0.5119050000000002	No data	-0.2703688268389248	-0.5294145467853534	-1	No data	No data	No data	0.5	-1
PDGFRA	0.6357487492748144	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	0.8537167939674049	No data	No data	0.908005658676501	No data	No data	No data	0.6889602737832412	No data	No data	1	1	0	1	1	0	0.5913699999999998	1	-0.9233173577828714	-0.9651248700548298	0	No data	-1	0	0.5	-1
PML	0.6349516111816813	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	0.9472092210572424	No data	0.4766684062273119	No data	0	0	0	0	0	0	No data	-0.5828297561992082	-0.19367094385831896	0	No data	No data	0	-1	-1
GATA1	0.6331177401368284	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6839221473130737	No data	0.8452944137041243	No data	No data	No data	No data	No data	No data	No data	No data	0.7880082476834255	No data	0.6115490404750958	No data	0	0	0	0	0	0.2978200000000001	No data	-0.7256720150031257	-0.9546249698696093	0	-1	-1	0	1	0.5
SMO	0.6251763507293626	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.912016425494121	No data	No data	No data	No data	No data	No data	0.1063878895820337	No data	No data	1	1	0	1	1	0	0.6632800000000003	0	-0.28026672223379867	-0.9346021927630868	0	No data	-1	0	-1	0
SF3B1	0.6248493850352566	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	0.48510278977801324	0.7900824633076198	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	0.24203872233522594	No data	0.4507570446757766	No data	0	0	0	0	0	1	No data	-0.9948947697436966	-0.55892245000588	-1	No data	-1	No data	-1	-1
EZH2	0.622506379562384	No data	No data	0.33600473694546146	No data	No data	No data	No data	No data	No data	0.8010754781028131	0.5896028152985996	No data	No data	0.06079307976116211	No data	No data	0.8138245466740056	No data	No data	No data	0.9497595097560535	No data	No data	1	0	0	1	1	0	0.8468699999999998	1	-0.9441550322983955	-0.872852738221877	0	No data	No data	-0.1145150000000001	0.5	0
