parent_compound_id,target_id,target_uniprot_ids,compound_specificity
CHEMBL1489,CHEMBL223,"['P25100', 'Q9NPY0']",acceptable
CHEMBL1489,CHEMBL1867,"['B0LPF6', 'P08913', 'Q2I8G2', 'Q2XN99', 'Q86TH8', 'Q9BZK1']",acceptable
CHEMBL1489,CHEMBL1942,"['A2RUS0', 'P18089', 'Q4TUH9', 'Q53RF2', 'Q9BZK0']",acceptable
CHEMBL1489,CHEMBL1916,"['P18825', 'P35369', 'Q9HB49']",acceptable
CHEMBL1489,CHEMBL213,"['B0LPE2', 'P08588', 'Q5T5Y4', 'Q9UKG7', 'Q9UKG8']",acceptable
CHEMBL1489,CHEMBL210,"['B0LPE4', 'B2R7X2', 'O14823', 'O14824', 'O14825', 'O14826', 'P07550', 'Q4JG18', 'Q53GA6', 'Q6GMT4', 'Q6P4D8', 'Q8NEQ9', 'Q96EC3', 'Q9UCZ0', 'Q9UCZ1', 'Q9UCZ2', 'Q9UCZ3', 'Q9UH95', 'Q9UHA1', 'Q9UMZ5']",acceptable
CHEMBL1489,CHEMBL246,"['P13945', 'Q4JFT4']",acceptable
CHEMBL1489,CHEMBL222,"['B2R707', 'B4DX48', 'P23975', 'Q96KH8']",acceptable
CHEMBL1489,CHEMBL2622,['P07943'],acceptable
CHEMBL1489,CHEMBL4607,"['B2R9V1', 'P50052', 'Q13016', 'Q6FGY7']",acceptable
CHEMBL1489,CHEMBL3157,['P30411'],acceptable
CHEMBL1489,CHEMBL1832,"['A0A0C4DG16', 'A4D1G6', 'F5H605', 'O14585', 'P30988', 'Q13941', 'Q5ZGL8', 'Q659U6', 'Q6DJU8', 'Q6T712']",acceptable
CHEMBL1489,CHEMBL1833,"['B2R9D5', 'P41595', 'Q53TI1', 'Q62221', 'Q6P523']",acceptable
CHEMBL1489,CHEMBL225,"['B1AMW4', 'P28335', 'Q5VUF8', 'Q9NP28']",acceptable
CHEMBL1489,CHEMBL5017,['O70528'],acceptable
CHEMBL1489,CHEMBL3371,"['P50406', 'Q13640', 'Q5TGZ1']",acceptable
CHEMBL1489,CHEMBL228,"['P31645', 'Q5EE02']",acceptable
CHEMBL1489,CHEMBL287,"['D3DRM7', 'O00673', 'O00725', 'Q0Z9W6', 'Q153Z1', 'Q2TSD1', 'Q53GN2', 'Q7Z653', 'Q8N7H3', 'Q99720', 'Q9NYX0']",acceptable
CHEMBL1489,CHEMBL249,"['A8K150', 'P25103']",acceptable
CHEMBL1489,CHEMBL2327,"['A8K7I1', 'P21452', 'Q4QRI5', 'Q8NGQ8', 'Q9UDE6', 'Q9UDE7']",acceptable
CHEMBL1489,CHEMBL3072,"['P15207', 'Q63049']",acceptable
CHEMBL1489,CHEMBL1835,"['B4DJG6', 'E7EMU9', 'E7EP08', 'E7ESB5', 'O14987', 'P24557', 'Q16843', 'Q16844', 'Q8IUN1', 'Q96CN2', 'Q9GZW4', 'Q9HD77', 'Q9HD78', 'Q9HD79', 'Q9HD80', 'Q9HD81', 'Q9HD82', 'Q9HD83', 'Q9HD84']",acceptable
CHEMBL1489,CHEMBL1868,"['A3E342', 'A3E344', 'A8KA71', 'B0LPF1', 'B2BF46', 'B2BF47', 'B2BF48', 'B3FR89', 'B5A923', 'F5H5L6', 'O60722', 'P16057', 'P17948', 'Q12954']",acceptable
CHEMBL1489,CHEMBL5144,"['A5JUT9', 'B3KPV1', 'B4DEB5', 'B4DGI4', 'F5H1F5', 'G3V0I1', 'P32241', 'Q15871', 'Q6P2M6']",acceptable
CHEMBL1489,CHEMBL1889,['P37288'],acceptable
CHEMBL1489,CHEMBL218,"['B2R9T4', 'E1P512', 'P21554', 'Q13949', 'Q495Z0', 'Q4PLI4', 'Q4VBM6', 'Q5JVL5', 'Q5UB37', 'Q9UNN0']",acceptable
CHEMBL1489,CHEMBL205,"['P00918', 'B2R7G8', 'Q6FI12', 'Q96ET9']",acceptable
CHEMBL1489,CHEMBL4015,"['A0AVQ3', 'B2RMT0', 'O95950', 'P41597', 'Q4VBL2']",acceptable
CHEMBL1489,CHEMBL2414,"['P51679', 'Q9ULY6', 'Q9ULY7']",acceptable
CHEMBL1489,CHEMBL274,"['O14692', 'O14693', 'O14695', 'O14696', 'O14697', 'O14698', 'O14699', 'O14700', 'O14701', 'O14702', 'O14703', 'O14704', 'O14705', 'O14706', 'O14707', 'O14708', 'O15538', 'P51681', 'Q9UPA4']",acceptable
CHEMBL1489,CHEMBL4029,"['B2R6Q3', 'P25024', 'Q2YEF8', 'Q2YEG4', 'Q2YEG5', 'Q2YEG7', 'Q2YEG8', 'Q53R18', 'Q6IN95', 'Q8N6T6', 'Q9P2T8', 'Q9P2T9', 'Q9P2U0', 'Q9P2U1', 'Q9P2U2']",acceptable
CHEMBL1489,CHEMBL2434,"['P25025', 'Q8IUZ1', 'Q9P2T6', 'Q9P2T7']",acceptable
CHEMBL1489,CHEMBL1901,"['B2R9Z5', 'P32238']",acceptable
CHEMBL1489,CHEMBL221,"['A8K1V7', 'B4DHQ2', 'B4E2S5', 'P23219', 'Q15122', 'Q3HY28', 'Q3HY29', 'Q5T7T6', 'Q5T7T7', 'Q5T7T8']",acceptable
CHEMBL1489,CHEMBL230,"['A8K802', 'P35354', 'Q16876']",acceptable
CHEMBL1489,CHEMBL3356,"['P05177', 'Q16754', 'Q6NWU3', 'Q6NWU5', 'Q9BXX7', 'Q9UK49']",acceptable
CHEMBL1489,CHEMBL5282,"['A7YAE5', 'B2R7F6', 'P00190', 'P10890', 'P11509', 'Q16803', 'Q4VAT9', 'Q4VAU0', 'Q4VAU1', 'Q9H1Z7', 'Q9UCU0', 'Q9UK48']",acceptable
CHEMBL1489,CHEMBL3622,"['P33259', 'P33261', 'Q8WZB1', 'Q8WZB2', 'Q9UCD4']",acceptable
CHEMBL1489,CHEMBL3397,"['P11712', 'P11713', 'Q16756', 'Q16872', 'Q5VX92', 'Q6IRV8', 'Q8WW80']",acceptable
CHEMBL1489,CHEMBL289,"['P10635', 'Q16752', 'Q2XND6', 'Q2XND7', 'Q2XNE0', 'Q6B012', 'Q6NXU8']",acceptable
CHEMBL1489,CHEMBL5281,"['P05181', 'Q5VZD5', 'Q6NWT9', 'Q9UK47']",acceptable
CHEMBL1489,CHEMBL340,"['P05184', 'P08684', 'Q16757', 'Q9UK50']",acceptable
CHEMBL1489,CHEMBL2056,"['B2RA44', 'P21728', 'Q4QRJ0']",acceptable
CHEMBL1489,CHEMBL217,"['P14416', 'Q9NZR3', 'Q9UPA9']",acceptable
CHEMBL1489,CHEMBL234,"['A1A4V5', 'P35462', 'Q4VBM8']",acceptable
CHEMBL1489,CHEMBL219,"['B0M0J7', 'P21917', 'Q7Z7Q5', 'Q8NGM5']",acceptable
CHEMBL1489,CHEMBL238,"['A2RUN4', 'Q01959', 'Q14996']",acceptable
CHEMBL1489,CHEMBL252,"['B2R723', 'B4E2V6', 'B7Z9G6', 'D3DP03', 'E7ER36', 'O43441', 'P25101', 'Q16432', 'Q16433', 'Q8TBH2']",acceptable
CHEMBL1489,CHEMBL242,"['A8K8K5', 'G3V5M5', 'O60608', 'O60685', 'O60702', 'O60703', 'O75583', 'O75584', 'Q0MWT5', 'Q0MWT6', 'Q86Z31', 'Q92731', 'Q9UEV6', 'Q9UHD3', 'Q9UQK9']",acceptable
CHEMBL1489,CHEMBL3392921,"['P22771', 'Q91W28']",acceptable
CHEMBL1489,CHEMBL231,"['A8K047', 'P35367', 'Q6P9E5']",acceptable
CHEMBL1489,CHEMBL1941,"['B5BUP7', 'P25021', 'Q14464', 'Q7Z5R9']",acceptable
CHEMBL1489,CHEMBL402,"['B7Z3Y9', 'P04035', 'Q8N190']",acceptable
CHEMBL1489,CHEMBL5486,"['P15127', 'P97681']",acceptable
CHEMBL1489,CHEMBL2007624,['P25094'],acceptable
CHEMBL1489,CHEMBL1784,"['P43220', 'Q2M229', 'Q99669']",acceptable
CHEMBL1489,CHEMBL2146315,['Q9R1A7'],acceptable
CHEMBL1489,CHEMBL2157,"['B2R4L8', 'P10145', 'Q6FGF6', 'Q6LAE6', 'Q96RG6', 'Q9C077', 'Q9UCE1', 'Q9UCR8', 'Q9UCR9', 'Q9UCS0']",acceptable
CHEMBL1489,CHEMBL1741186,"['P51449', 'Q5SZR9', 'Q8N5V7', 'Q8NCY8']",acceptable
CHEMBL1489,CHEMBL1743126,"['Q53HF5', 'Q6PD77', 'Q86VL4', 'Q96FL8', 'Q9NVA3']",acceptable
CHEMBL1489,CHEMBL1075138,"['Q2HXX4', 'Q86TV8', 'Q96BK7', 'Q9NUW8', 'Q9NZM7', 'Q9NZM8']",acceptable
CHEMBL1489,CHEMBL2007625,"['O75874', 'Q567U4', 'Q6FHQ6', 'Q7Z3V0', 'Q93090', 'Q9NTJ9', 'Q9UKW8']",acceptable
CHEMBL1489,CHEMBL1697668,"['B2R7G2', 'Q29R64', 'Q9NQ37', 'Q9UBF3', 'Q9UH89', 'Q9Y6L6']",acceptable
CHEMBL1489,CHEMBL1743121,"['E7EMT8', 'Q5JAR4', 'Q9NPD5']",acceptable
CHEMBL1489,CHEMBL378,no_uni_id!,acceptable
CHEMBL1489,CHEMBL2193,"['B2RCA6', 'B7XD04', 'F8WCC8', 'P15289', 'Q6ICI5', 'Q96CJ0']",acceptable
CHEMBL1489,CHEMBL612546,no_uni_id!,acceptable
CHEMBL1489,CHEMBL375,no_uni_id!,acceptable
CHEMBL1489,CHEMBL376,no_uni_id!,acceptable
CHEMBL1489,CHEMBL381,no_uni_id!,acceptable
CHEMBL1489,CHEMBL372,no_uni_id!,acceptable
CHEMBL1489,CHEMBL2424510,"['A0JBR2', 'A8K024', 'B2RBA9', 'Q2HIX7', 'Q8J022', 'Q96T88', 'Q9H6S6', 'Q9P115', 'Q9P1U7']",acceptable
CHEMBL1489,CHEMBL1795168,"['Q1X902', 'Q9NZ45']",acceptable
CHEMBL1489,CHEMBL1993,"['A0AV63', 'B7ZLW6', 'P26358', 'Q9UHG5', 'Q9ULA2', 'Q9UMZ6']",acceptable
CHEMBL1489,CHEMBL354,no_uni_id!,acceptable
CHEMBL1489,CHEMBL398,no_uni_id!,acceptable
CHEMBL1489,CHEMBL2366800,no_uni_id!,acceptable
CHEMBL1489,CHEMBL350,no_uni_id!,acceptable
CHEMBL1489,CHEMBL348,no_uni_id!,acceptable
CHEMBL1489,CHEMBL614425,no_uni_id!,acceptable
CHEMBL1489,CHEMBL366,no_uni_id!,acceptable
CHEMBL1489,CHEMBL365,no_uni_id!,acceptable
CHEMBL1489,CHEMBL4303835,no_uni_id!,acceptable
CHEMBL1489,CHEMBL4523582,['P0DTD1'],acceptable
CHEMBL178,CHEMBL614516,no_uni_id!,acceptable
CHEMBL178,CHEMBL614514,no_uni_id!,acceptable
CHEMBL178,CHEMBL2362975,no_uni_id!,acceptable
CHEMBL178,CHEMBL612558,no_uni_id!,acceptable
CHEMBL178,CHEMBL345,no_uni_id!,acceptable
CHEMBL178,CHEMBL2366220,no_uni_id!,acceptable
CHEMBL178,CHEMBL381,no_uni_id!,acceptable
CHEMBL178,CHEMBL613070,no_uni_id!,acceptable
CHEMBL178,CHEMBL359,no_uni_id!,acceptable
CHEMBL178,CHEMBL382,no_uni_id!,acceptable
CHEMBL178,CHEMBL613853,no_uni_id!,acceptable
CHEMBL178,CHEMBL614536,no_uni_id!,acceptable
CHEMBL178,CHEMBL3879801,no_uni_id!,acceptable
CHEMBL178,CHEMBL612545,no_uni_id!,acceptable
CHEMBL178,CHEMBL333,"['B2R6U1', 'B4DWH3', 'E9PE45', 'P08253', 'Q9UCJ8']",acceptable
CHEMBL178,CHEMBL612638,no_uni_id!,acceptable
CHEMBL178,CHEMBL612514,no_uni_id!,acceptable
CHEMBL178,CHEMBL4564,"['P00375', 'P70693', 'Q61485', 'Q61487', 'Q61579']",acceptable
CHEMBL178,CHEMBL613827,no_uni_id!,acceptable
CHEMBL178,CHEMBL614295,no_uni_id!,acceptable
CHEMBL178,CHEMBL354,no_uni_id!,acceptable
CHEMBL178,CHEMBL383,no_uni_id!,acceptable
CHEMBL178,CHEMBL614734,no_uni_id!,acceptable
CHEMBL178,CHEMBL384,no_uni_id!,acceptable
CHEMBL178,CHEMBL613985,no_uni_id!,acceptable
CHEMBL178,CHEMBL613984,no_uni_id!,acceptable
CHEMBL178,CHEMBL614590,no_uni_id!,acceptable
CHEMBL178,CHEMBL398,no_uni_id!,acceptable
CHEMBL178,CHEMBL614000,no_uni_id!,acceptable
CHEMBL178,CHEMBL386,no_uni_id!,acceptable
CHEMBL178,CHEMBL614017,no_uni_id!,acceptable
CHEMBL178,CHEMBL614740,no_uni_id!,acceptable
CHEMBL178,CHEMBL387,no_uni_id!,acceptable
CHEMBL178,CHEMBL613829,no_uni_id!,acceptable
CHEMBL178,CHEMBL614088,no_uni_id!,acceptable
CHEMBL178,CHEMBL614019,no_uni_id!,acceptable
CHEMBL178,CHEMBL614073,no_uni_id!,acceptable
CHEMBL178,CHEMBL614129,no_uni_id!,acceptable
CHEMBL178,CHEMBL614344,no_uni_id!,acceptable
CHEMBL178,CHEMBL614923,no_uni_id!,acceptable
CHEMBL178,CHEMBL614343,no_uni_id!,acceptable
CHEMBL178,CHEMBL375,no_uni_id!,acceptable
CHEMBL178,CHEMBL614177,no_uni_id!,acceptable
CHEMBL178,CHEMBL614200,no_uni_id!,acceptable
CHEMBL178,CHEMBL396,no_uni_id!,acceptable
CHEMBL178,CHEMBL4499,"['P03905', 'Q6RL39', 'Q6RQN9', 'Q8HNR8']",acceptable
CHEMBL178,CHEMBL612554,no_uni_id!,acceptable
CHEMBL178,CHEMBL389,no_uni_id!,acceptable
CHEMBL178,CHEMBL614213,no_uni_id!,acceptable
CHEMBL178,CHEMBL2096984,['P08419'],acceptable
CHEMBL178,CHEMBL376,no_uni_id!,acceptable
CHEMBL178,CHEMBL614919,no_uni_id!,acceptable
CHEMBL178,CHEMBL352,no_uni_id!,acceptable
CHEMBL178,CHEMBL353,no_uni_id!,acceptable
CHEMBL178,CHEMBL356,no_uni_id!,acceptable
CHEMBL178,CHEMBL614774,no_uni_id!,acceptable
CHEMBL178,CHEMBL1781,"['A8KA78', 'E1P5W3', 'O43256', 'P11387', 'Q12855', 'Q12856', 'Q15610', 'Q5TFY3', 'Q9UJN0']",acceptable
CHEMBL178,CHEMBL2916,"['O14746', 'O14783', 'Q2XS35', 'Q8N6C3', 'Q8NG38', 'Q8NG46']",acceptable
CHEMBL178,CHEMBL209,"['A1A509', 'A6NJ71', 'B2R5I5', 'P07477', 'Q5NV57', 'Q7M4N3', 'Q7M4N4', 'Q92955', 'Q9HAN4', 'Q9HAN5', 'Q9HAN6', 'Q9HAN7']",acceptable
CHEMBL178,CHEMBL612797,no_uni_id!,acceptable
CHEMBL178,CHEMBL614647,no_uni_id!,acceptable
CHEMBL178,CHEMBL613532,no_uni_id!,acceptable
CHEMBL178,CHEMBL612816,no_uni_id!,acceptable
CHEMBL178,CHEMBL385,no_uni_id!,acceptable
CHEMBL178,CHEMBL612262,no_uni_id!,acceptable
CHEMBL178,CHEMBL397,no_uni_id!,acceptable
